Manufacturer,Model 
alfa-romero,giulia
alfa-romero,stelvio
alfa-romero,Quadrifoglio
audi,100 ls
audi,100ls
audi,fox
audi,100ls
audi,5000
audi,4000
audi,5000s (diesel)
bmw,320i
bmw,320i
bmw,x1
bmw,x3
bmw,z4
bmw,x4
bmw,x5
bmw,x3
chevrolet,impala
chevrolet,monte carlo
chevrolet,vega 2300
dodge,rampage
dodge,challenger se
dodge,d200
dodge,monaco (sw)
dodge,colt hardtop
dodge,colt (sw)
dodge,coronet custom
dodge,dart custom
dodge,coronet custom (sw)
honda,civic
honda,civic cvcc
honda,civic
honda,accord cvcc
honda,civic cvcc
honda,accord lx
honda,civic 1500 gl
honda,accord
honda,civic 1300
honda,prelude
honda,accord
honda,civic
honda,civic (auto)
isuzu,MU-X
isuzu,D-Max 
isuzu,D-Max V-Cross
isuzu,D-Max 
jaguar,xj
jaguar,xf
jaguar,xk
maxda,rx3
maxda,glc deluxe
mazda,rx2 coupe
mazda,rx-4
mazda,glc deluxe
mazda,626
mazda,glc
mazda,rx-7 gs
mazda,glc 4
mazda,626
mazda,glc custom l
mazda,glc custom
mazda,rx-4
mazda,glc deluxe
mazda,626
mazda,glc
mazda,rx-7 gs
buick,electra 225 custom
buick,century luxus (sw)
buick,century
buick,skyhawk
buick,opel isuzu deluxe
buick,skylark
buick,century special
buick,regal sport coupe (turbo)
mercury,cougar
mitsubishi,mirage
mitsubishi,lancer
mitsubishi,outlander
mitsubishi,g4
mitsubishi,mirage g4
mitsubishi,g4
mitsubishi,outlander
mitsubishi,g4
mitsubishi,mirage g4
mitsubishi,montero
mitsubishi,pajero
mitsubishi,outlander
mitsubishi,mirage g4
nissan,versa
nissan,gt-r
nissan,rogue
nissan,latio
nissan,titan
nissan,leaf
nissan,juke
nissan,latio
nissan,note
nissan,clipper
nissan,rogue
nissan,nv200
nissan,dayz
nissan,fuga
nissan,otti
nissan,teana
nissan,kicks
nissan,clipper
peugeot,504
peugeot,304
peugeot,504 (sw)
peugeot,504
peugeot,504
peugeot,604sl
peugeot,504
peugeot,505s turbo diesel
peugeot,504
peugeot,504
peugeot,604sl
plymouth,fury iii
plymouth,cricket
plymouth,fury iii
plymouth,satellite custom (sw)
plymouth,fury gran sedan
plymouth,valiant
plymouth,duster
porsche,macan
porcshce,panamera
porsche,cayenne
porsche,boxter
porsche,cayenne
renault,12tl
renault,5 gtl
saab,99e
saab,99le
saab,99le
saab,99gle
saab,99gle
saab,99e
subaru,dl
subaru,dl
subaru,brz
subaru,baja
subaru,r1
subaru,r2
subaru,trezia
subaru,tribeca
subaru,dl
subaru,dl
toyota,corona mark ii
toyota,corona
toyota,corolla 1200
toyota,corona hardtop
toyota,corolla 1600 (sw)
toyota,carina
toyota,mark ii
toyota,corolla 1200
toyota,corona
toyota,corolla
toyota,corona
toyota,corolla
toyota,mark ii
toyota,corolla liftback
toyota,corona
toyota,celica gt liftback
toyota,corolla tercel
toyota,corona liftback
toyota,corolla
toyota,starlet
toyota,tercel
toyota,corolla
toyota,cressida
toyota,corolla
toyota,celica gt
toyota,corona
toyota,corolla
toyota,mark ii
toyota,corolla liftback
toyota,corona
toyota,starlet
toyota,tercel
volkswagen,rabbit
volkswagen,1131 deluxe sedan
volkswagen,model 111
volkswagen,type 3
volkswagen,411 (sw)
volkswagen,super beetle
volkswagen,dasher
volkswagen,dasher
volkswagen,rabbit
volkswagen,rabbit
volkswagen,rabbit custom
volkswagen,dasher
volvo,145e (sw)
volvo,144ea
volvo,244dl
volvo,245
volvo,264gl
volvo,diesel
volvo,145e (sw)
volvo,144ea
volvo,244dl
volvo,246
volvo,264gl
